,home_or_away,avgGoalDif,avgHF,winStreak,avgPPG,daysSinceLast,win
496,1,1.125,13.75,0.0,1.25,2.0,False
497,0,0.875,14.0,0.0,1.0,3.0,False
498,0,-0.375,13.625,0.0,0.75,2.0,True
499,0,0.25,16.75,1.0,1.0,1.0,True
500,0,0.375,17.875,2.0,1.0,3.0,True
501,0,0.625,17.875,3.0,1.25,1.0,False
502,1,-0.125,18.375,0.0,1.0,7.0,False
503,1,-0.75,18.5,0.0,0.75,3.0,True
504,1,-0.125,19.25,1.0,1.0,2.0,False
505,1,-0.25,20.0,0.0,1.0,2.0,True
506,1,0.375,19.75,1.0,1.25,2.0,False
507,1,-0.625,16.875,0.0,1.0,2.0,True
508,0,-0.375,15.0,1.0,1.0,2.0,False
509,0,-0.75,14.375,0.0,0.75,2.0,True
510,1,-0.25,15.25,1.0,1.0,2.0,True
511,0,0.625,16.125,2.0,1.25,1.0,False
512,1,0.125,15.125,0.0,1.0,2.0,True
513,0,0.5,15.375,1.0,1.25,3.0,False
514,0,0.375,16.375,0.0,1.0,1.0,False
515,0,0.625,15.75,0.0,1.0,2.0,True
516,0,0.5,18.625,1.0,1.0,2.0,True
517,0,0.875,20.5,2.0,1.25,2.0,False
518,1,0.375,19.25,0.0,1.0,3.0,False
519,1,0.0,22.0,0.0,0.75,2.0,False
520,0,-0.375,23.75,0.0,0.75,2.0,False
521,0,-0.5,26.375,0.0,0.5,2.0,True
522,1,-0.375,27.125,1.0,0.75,2.0,True
523,1,0.0,28.0,2.0,1.0,3.0,False
524,1,-1.0,25.375,0.0,0.75,2.0,True
